timestamp,symbol,direction,entry_price,exit_price,size_usd,pnl_usd,pnl_pct,exit_reason,hold_seconds,confidence,market_type
2026-02-22T11:21:46.244417,PI_ETHUSD,SHORT,1945.43065023,1942.89605371,92.41,0.12,0.1303,MAX_HOLD_FLAT,ML:0.27|Trend:DOWN|RSI:36|Sent:-0.82
2026-02-22T11:56:24.659240,ETH-USD,SHORT,1948.40031250,1942.96599750,195.40,0.54,0.2789,MAX_HOLD_FLAT,ML:0.25|Trend:DOWN|RSI:51|Sent:-0.82
2026-02-22T12:01:42.878452,ATOM-USD,SHORT,2.24987450,2.25062475,145.93,-0.05,-0.0333,MAX_HOLD_FLAT,ML:0.24|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:01:42.903073,DOT-USD,SHORT,1.31434250,1.31415675,99.99,0.01,0.0141,MAX_HOLD_FLAT,ML:0.27|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:01:42.927679,MATIC-USD,SHORT,0.10574710,0.10560277,99.99,0.14,0.1365,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:50|Sent:-0.82
2026-02-22T12:03:27.461160,PI_ETHUSD,SHORT,1953.60914137,1945.73543975,54.40,0.22,0.4030,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:56|Sent:-0.82
2026-02-22T12:06:58.504035,NEAR-USD,SHORT,1.00899525,1.01350650,99.98,-0.45,-0.4471,MAX_HOLD_FLAT,ML:0.18|Trend:DOWN|RSI:63|Sent:-0.82
2026-02-22T12:06:58.526934,LTC-USD,SHORT,53.20338500,53.31664500,99.98,-0.21,-0.2129,MAX_HOLD_FLAT,ML:0.20|Trend:DOWN|RSI:70|Sent:-0.82
2026-02-22T12:06:58.549115,AVAX-USD,SHORT,8.86056750,8.82941250,99.98,0.35,0.3516,MAX_HOLD_FLAT,ML:0.21|Trend:DOWN|RSI:70|Sent:-0.82
2026-02-22T12:06:58.571925,BTC-USD,SHORT,67384.27600750,67481.72900250,99.98,-0.14,-0.1446,MAX_HOLD_FLAT,ML:0.10|Trend:SIDE|RSI:49|Sent:-0.82
2026-02-22T12:06:58.595954,UNI-USD,SHORT,3.46826500,3.45872850,99.98,0.27,0.2750,MAX_HOLD_FLAT,ML:0.26|Trend:DOWN|RSI:69|Sent:-0.82
2026-02-22T12:06:58.618211,PAXG-USD,SHORT,5159.39901000,5149.39341000,99.97,0.19,0.1939,MAX_HOLD_FLAT,ML:0.16|Trend:SIDE|RSI:68|Sent:-0.82
2026-02-22T12:12:12.370435,XLM-USD,SHORT,0.15441076,0.15516004,151.19,-0.73,-0.4853,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:45|Sent:-0.82
2026-02-22T12:13:56.522494,PI_XRPUSD,SHORT,1.39108519,1.38633330,51.93,0.18,0.3416,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:44|Sent:-0.82
2026-02-22T12:22:40.106525,PI_XRPUSD,SHORT,1.39037289,1.38652329,49.98,0.14,0.2769,MAX_HOLD_FLAT,ML:0.29|Trend:DOWN|RSI:44|Sent:-0.82
2026-02-22T12:34:52.853968,PI_DOTUSD,SHORT,1.31294880,1.30904640,49.98,0.15,0.2972,MAX_HOLD_FLAT,ML:0.34|Trend:DOWN|RSI:36|Sent:-0.82
2026-02-22T12:40:07.305730,PI_AVAXUSD,SHORT,8.84791600,8.83206000,49.98,0.09,0.1792,MAX_HOLD_FLAT,ML:0.20|Trend:DOWN|RSI:43|Sent:-0.82
2026-02-22T12:40:07.329039,PI_DOTUSD,SHORT,1.31444760,1.31054760,49.98,0.15,0.2967,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:47|Sent:-0.82
2026-02-22T12:40:07.351654,PI_LTCUSD,SHORT,53.21063284,53.22689990,49.98,-0.02,-0.0306,MAX_HOLD_FLAT,ML:0.31|Trend:DOWN|RSI:52|Sent:-0.82
2026-02-22T14:24:38.076796,PI_LTCUSD,SHORT,53.19750066,53.11050865,49.98,0.08,0.1635,MAX_HOLD_FLAT,ML:0.23|Trend:DOWN|RSI:55|Sent:-0.82
2026-02-22T15:08:22.742126,PI_AVAXUSD,SHORT,8.81794000,8.82705600,49.99,-0.05,-0.1034,MAX_HOLD_FLAT,ML:0.09|Trend:DOWN|RSI:75|Sent:-0.82
2026-02-22T15:17:03.921743,PI_ADAUSD,SHORT,0.26862746,0.27005430,49.98,-0.27,-0.5312,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:38|Sent:-0.82
2026-02-22T15:24:07.686462,LINK-USD,SHORT,8.71963800,8.69534550,111.67,0.31,0.2786,MAX_HOLD_FLAT,ML:0.24|Trend:DOWN|RSI:66|Sent:-0.82
2026-02-22T15:43:20.545864,PI_AVAXUSD,SHORT,8.81794000,8.85708000,49.98,-0.22,-0.4439,MAX_HOLD_FLAT,ML:0.14|Trend:SIDE|RSI:70|Sent:-0.82
2026-02-22T15:52:00.811708,PI_DOTUSD,SHORT,1.30945160,1.31555160,49.98,-0.23,-0.4658,MAX_HOLD_FLAT,ML:0.18|Trend:DOWN|RSI:67|Sent:-0.82
2026-02-22T16:00:44.218343,PI_ADAUSD,SHORT,0.26933868,0.27085745,49.98,-0.28,-0.5639,MAX_HOLD_FLAT,ML:0.28|Trend:DOWN|RSI:65|Sent:-0.82
2026-02-22T16:00:44.246303,PI_DOTUSD,SHORT,1.30845240,1.31505120,49.98,-0.25,-0.5043,MAX_HOLD_FLAT,ML:0.10|Trend:SIDE|RSI:67|Sent:-0.82
2026-02-22T16:07:46.252323,SOL-USD,SHORT,83.19838000,83.54675250,165.31,-0.69,-0.4187,MAX_HOLD_FLAT,ML:0.12|Trend:DOWN|RSI:75|Sent:-0.82
2026-02-22T16:07:46.289192,BCH-USD,SHORT,569.69501000,572.49610500,99.97,-0.49,-0.4917,MAX_HOLD_FLAT,ML:0.18|Trend:SIDE|RSI:64|Sent:-0.82
2026-02-22T16:07:46.312120,AAVE-USD,SHORT,117.83605250,118.36415250,99.97,-0.45,-0.4482,MAX_HOLD_FLAT,ML:0.19|Trend:SIDE|RSI:73|Sent:-0.82
2026-02-22T16:09:33.227083,DOGE-USD,SHORT,0.09513741,0.09565780,99.98,-0.55,-0.5470,MAX_HOLD_FLAT,ML:0.21|Trend:DOWN|RSI:54|Sent:-0.82
2026-02-22T16:11:16.354602,XRP-USD,SHORT,1.38935498,1.39699815,99.98,-0.55,-0.5501,MAX_HOLD_FLAT,ML:0.19|Trend:DOWN|RSI:62|Sent:-0.82
2026-02-22T16:11:16.386560,ADA-USD,SHORT,0.26981503,0.27113550,99.97,-0.49,-0.4894,MAX_HOLD_FLAT,ML:0.23|Trend:DOWN|RSI:56|Sent:-0.82
2026-02-22T16:16:35.991636,PAXG-USD,SHORT,5143.93174750,5169.92867250,99.95,-0.51,-0.5054,MAX_HOLD_FLAT,ML:0.07|Trend:SIDE|RSI:35|Sent:-0.82
2026-02-22T16:33:11.002993,ATOM-USD,SHORT,2.24487700,2.24762325,99.95,-0.12,-0.1223,MAX_HOLD_FLAT,ML:0.20|Trend:SIDE|RSI:41|Sent:-0.82
2026-02-22T16:33:11.037761,XLM-USD,SHORT,0.15513190,0.15482788,99.95,0.20,0.1960,MAX_HOLD_FLAT,ML:0.22|Trend:SIDE|RSI:39|Sent:-0.82
2026-02-22T16:43:37.913033,ETH-USD,SHORT,1939.97452750,1949.48925750,99.95,-0.49,-0.4905,MAX_HOLD_FLAT,ML:0.11|Trend:SIDE|RSI:44|Sent:-0.82
2026-02-22T16:43:37.937271,PI_ETHUSD,SHORT,1940.48415980,1950.48361949,49.98,-0.26,-0.5153,MAX_HOLD_FLAT,ML:0.13|Trend:DOWN|RSI:46|Sent:-0.82
2026-02-22T17:27:10.768431,PI_ETHUSD,SHORT,1941.32606004,1947.99696431,49.98,-0.17,-0.3436,MAX_HOLD_FLAT,ML:0.08|Trend:SIDE|RSI:70|Sent:-0.82
2026-02-22T17:28:56.331316,UNI-USD,SHORT,3.45527150,3.47073450,99.97,-0.45,-0.4475,MAX_HOLD_FLAT,ML:0.17|Trend:SIDE|RSI:38|Sent:-0.82
2026-02-22T18:03:56.436910,UNI-USD,LONG,3.46122975,3.37880975,192.15,-4.58,-2.3812,STOP_LOSS,ML:0.79|Trend:UP|RSI:13|Sent:-0.90
2026-02-22T18:09:10.395639,LTC-USD,SHORT,53.43327000,52.10103750,99.93,2.49,2.4933,TAKE_PROFIT,ML:0.19|Trend:SIDE|RSI:55|Sent:-0.82
2026-02-22T18:10:58.557844,PI_AVAXUSD,SHORT,8.81294400,8.54683200,49.98,1.51,3.0196,TAKE_PROFIT,ML:0.18|Trend:SIDE|RSI:43|Sent:-0.82
2026-02-22T18:10:58.580655,MATIC-USD,LONG,0.10620307,0.10364815,166.84,-4.01,-2.4057,STOP_LOSS,ML:0.80|Trend:UP|RSI:21|Sent:-0.90
2026-02-22T21:19:32.185670,PI_XRPUSD,LONG,1.34440259,1.33665704,57.63,-0.33,-0.5761,MAX_HOLD_FLAT,ML:0.93|Trend:DOWN|RSI:24|Sent:-0.90
2026-02-22T21:27:54.090475,PI_XRPUSD,LONG,1.33382756,1.33768462,49.86,0.14,0.2892,MAX_HOLD_FLAT,ML:0.92|Trend:DOWN|RSI:25|Sent:-0.90
2026-02-22T22:18:27.468738,XLM-USD,LONG,0.15071732,0.15094399,124.23,0.19,0.1504,MAX_HOLD_FLAT,ML:0.94|Trend:DOWN|RSI:25|Sent:-0.90
2026-02-22T23:12:53.045946,AAVE-USD,SHORT,112.41376500,114.72733500,115.29,-2.37,-2.0581,STOP_LOSS,ML:0.13|Trend:DOWN|RSI:60|Sent:-0.90
2026-02-22T23:15:03.919032,MATIC-USD,SHORT,0.10319837,0.10545270,99.71,-2.18,-2.1845,STOP_LOSS,ML:0.23|Trend:DOWN|RSI:73|Sent:-0.90
2026-02-22T23:38:14.454241,NEAR-USD,SHORT,0.99350300,1.01450700,99.71,-2.11,-2.1141,STOP_LOSS,ML:0.29|Trend:DOWN|RSI:96|Sent:-0.90
2026-02-23T00:01:25.679963,DOGE-USD,SHORT,0.09271362,0.09464230,99.71,-2.07,-2.0803,STOP_LOSS,ML:0.21|Trend:DOWN|RSI:70|Sent:-0.90
2026-02-23T00:44:50.550951,ATOM-USD,SHORT,2.20139875,2.21260575,158.85,-0.81,-0.5091,MAX_HOLD_FLAT,ML:0.26|Trend:DOWN|RSI:79|Sent:-0.90
2026-02-23T02:03:27.863378,PAXG-USD,SHORT,5181.36302250,5158.28285250,117.94,0.53,0.4454,MAX_HOLD_FLAT,ML:0.09|Trend:SIDE|RSI:71|Sent:-0.90
2026-02-23T02:16:03.505575,PI_XRPUSD,SHORT,1.34517272,1.36949887,85.14,-1.54,-1.8084,MAX_HOLD_FORCED,ML:0.19|Trend:DOWN|RSI:65|Sent:-0.90
2026-02-23T02:22:27.083304,BCH-USD,SHORT,541.05433750,539.77475250,99.71,0.24,0.2365,MAX_HOLD_FLAT,ML:0.30|Trend:DOWN|RSI:75|Sent:-0.90
2026-02-23T02:32:57.096403,PI_XRPUSD,SHORT,1.34323695,1.39342346,62.22,-2.32,-3.7362,STOP_LOSS,ML:0.21|Trend:DOWN|RSI:45|Sent:-0.90
2026-02-23T02:32:57.154112,PI_DOGEUSD,SHORT,0.09194194,0.09502785,65.46,-2.20,-3.3564,STOP_LOSS,ML:0.26|Trend:DOWN|RSI:66|Sent:-0.90
2026-02-23T02:32:57.218075,AVAX-USD,SHORT,8.42078750,8.63431500,99.70,-2.53,-2.5357,STOP_LOSS,ML:0.18|Trend:DOWN|RSI:52|Sent:-0.90
2026-02-23T02:32:57.271854,UNI-USD,LONG,3.34867350,3.43128350,99.53,2.46,2.4669,TAKE_PROFIT,ML:0.82|Trend:UP|RSI:36|Sent:-0.90
2026-02-23T02:39:12.834959,ETH-USD,SHORT,1864.35235750,1908.15860250,99.72,-2.34,-2.3497,STOP_LOSS,ML:0.34|Trend:DOWN|RSI:56|Sent:-0.90
2026-02-23T02:47:39.074064,MATIC-USD,LONG,0.10525260,0.10839578,99.52,2.97,2.9863,TAKE_PROFIT,ML:0.78|Trend:UP|RSI:24|Sent:-0.90
2026-02-23T02:58:10.259728,AAVE-USD,LONG,114.87741000,117.78108000,99.50,2.52,2.5276,TAKE_PROFIT,ML:0.71|Trend:UP|RSI:33|Sent:-0.90
2026-02-23T04:53:26.204711,NEAR-USD,LONG,1.00600275,1.00649650,99.50,0.05,0.0491,MAX_HOLD_FLAT,ML:0.66|Trend:UP|RSI:53|Sent:-0.90
2026-02-23T05:37:14.798920,PI_XRPUSD,LONG,1.36922385,1.41228999,49.76,1.57,3.1453,TAKE_PROFIT,ML:0.69|Trend:UP|RSI:53|Sent:-0.90
2026-02-23T05:39:24.310024,DOT-USD,LONG,1.27363650,1.30534700,99.52,2.48,2.4898,TAKE_PROFIT,ML:0.71|Trend:UP|RSI:46|Sent:-0.90
2026-02-23T05:45:35.835948,XLM-USD,LONG,0.15320807,0.15721835,99.52,2.61,2.6175,TAKE_PROFIT,ML:0.76|Trend:UP|RSI:42|Sent:-0.90
2026-02-23T06:14:51.155812,ATOM-USD,LONG,2.23011450,2.18390750,99.45,-2.06,-2.0720,STOP_LOSS,ML:0.69|Trend:UP|RSI:49|Sent:-0.90
2026-02-23T06:56:41.922785,PI_XRPUSD,LONG,1.39423812,1.39737295,88.60,0.20,0.2248,MAX_HOLD_FLAT,ML:0.77|Trend:UP|RSI:51|Sent:-0.90
2026-02-23T07:32:23.654117,BTC-USD,LONG,66383.39010750,66066.28033500,99.45,-0.48,-0.4777,MAX_HOLD_FLAT,ML:0.70|Trend:UP|RSI:51|Sent:-0.90
2026-02-23T07:42:51.307361,AAVE-USD,LONG,117.52873500,117.59117500,99.44,0.05,0.0531,MAX_HOLD_FLAT,ML:0.71|Trend:UP|RSI:44|Sent:-0.90
2026-02-23T07:42:51.360091,XRP-USD,LONG,1.40600265,1.37211360,99.53,-2.40,-2.4103,STOP_LOSS,ML:0.70|Trend:UP|RSI:43|Sent:-0.90
2026-02-23T07:53:17.501237,UNI-USD,LONG,3.47773800,3.46376725,99.45,-0.40,-0.4017,MAX_HOLD_FLAT,ML:0.73|Trend:UP|RSI:39|Sent:-0.90
2026-02-23T08:06:06.057039,NEAR-USD,LONG,1.01450700,0.99350300,99.57,-2.06,-2.0704,STOP_LOSS,ML:0.72|Trend:UP|RSI:53|Sent:-0.90
2026-02-23T08:52:39.523761,PI_XRPUSD,LONG,1.41272336,1.36654941,122.48,-4.00,-3.2684,STOP_LOSS,ML:0.87|Trend:UP|RSI:43|Sent:-0.90
2026-02-23T08:56:10.821002,MATIC-USD,LONG,0.10890442,0.10914540,99.44,0.22,0.2213,MAX_HOLD_FLAT,ML:0.70|Trend:UP|RSI:29|Sent:-0.90
2026-02-23T09:29:44.966727,MATIC-USD,SHORT,0.10844575,0.11105550,99.34,-2.39,-2.4065,STOP_LOSS,ML:0.21|Trend:SIDE|RSI:35|Sent:-0.90
2026-02-23T10:20:58.349130,PI_ETHUSD,LONG,1927.61727244,1866.17098791,71.29,-2.27,-3.1877,STOP_LOSS,ML:0.76|Trend:UP|RSI:46|Sent:-0.90
2026-02-23T10:20:58.373546,PI_ETHUSD,LONG,1927.52454396,1866.17098791,102.54,-3.26,-3.1830,STOP_LOSS,ML:0.87|Trend:UP|RSI:49|Sent:-0.90
2026-02-23T10:31:33.460427,AVAX-USD,LONG,8.59429500,8.41579000,147.73,-3.07,-2.0770,STOP_LOSS,ML:0.85|Trend:UP|RSI:44|Sent:-0.90
2026-02-23T11:43:44.050894,BCH-USD,SHORT,530.58457500,529.06940250,110.84,0.32,0.2856,MAX_HOLD_FLAT,ML:0.15|Trend:DOWN|RSI:39|Sent:-0.90
2026-02-23T12:46:40.488284,PAXG-USD,SHORT,5163.15713000,5233.60549500,99.44,-1.36,-1.3644,MAX_HOLD_FORCED,ML:0.21|Trend:SIDE|RSI:37|Sent:-0.90
2026-02-23T14:14:29.521385,PI_ETHUSD,SHORT,1894.97354664,1874.97051233,49.67,0.52,1.0556,STALE_PROFIT_DECAY,ML:0.33|Trend:DOWN|RSI:41|Sent:-0.90
